date,state
2020-03-07,CE
2020-03-07,BA
2020-03-07,AP
2020-03-07,AM
2020-03-07,AL
2020-03-07,AC
2020-03-08,TO
2020-03-08,SP
2020-03-08,SE
2020-03-08,SC
2020-03-08,RS
2020-03-08,RR
2020-03-08,RO
2020-03-08,RN
2020-03-08,RJ
2020-03-08,PR
2020-03-08,PI
2020-03-08,PE
2020-03-08,PB
2020-03-08,PA
2020-03-08,MT
2020-03-08,MS
2020-03-08,MG
2020-03-08,MA
2020-03-08,GO
2020-03-08,ES
2020-03-08,DF
2020-03-08,CE
2020-03-08,BA
2020-03-08,AP
2020-03-08,AM
2020-03-08,AL
2020-03-08,AC
2020-03-09,TO
2020-03-09,SP
2020-03-09,SE
2020-03-09,SC
2020-03-09,RS
2020-03-09,RR
2020-03-09,RO
2020-03-09,RN
2020-03-09,RJ
2020-03-09,PR
2020-03-09,PI
2020-03-09,PE
2020-03-09,PB
2020-03-09,PA
2020-03-09,MT
2020-03-09,MS
2020-03-09,MG
2020-03-09,MA
2020-03-09,GO
2020-03-09,ES
2020-03-09,DF
2020-03-09,CE
2020-03-09,BA
2020-03-09,AP
2020-03-09,AM
2020-03-09,AL
2020-03-09,AC
2020-03-10,TO
2020-03-10,SP
2020-03-10,SE
2020-03-10,SC
2020-03-10,RS
2020-03-10,RR
2020-03-10,RO
2020-03-10,RN
2020-03-10,RJ
2020-03-10,PR
2020-03-10,PI
2020-03-10,PE
2020-03-10,PB
2020-03-10,PA
2020-03-10,MT
2020-03-10,MS
2020-03-10,MG
2020-03-10,MA
2020-03-10,GO
2020-03-10,ES
2020-03-10,DF
2020-03-10,CE
2020-03-10,BA
2020-03-10,AP
2020-03-10,AM
2020-03-10,AL
2020-03-10,AC
2020-03-11,TO
2020-03-11,SP
2020-03-11,SE
2020-03-11,SC
2020-03-11,RS
2020-03-11,RR
2020-03-11,RO
2020-03-11,RN
2020-03-11,RJ
2020-03-11,PR
2020-03-11,PI
2020-03-11,PE
2020-03-11,PB
2020-03-11,PA
2020-03-11,MT
2020-03-11,MS
2020-03-11,MG
2020-03-11,MA
2020-03-11,GO
2020-03-11,ES
2020-03-11,DF
2020-03-11,CE
2020-03-11,BA
2020-03-11,AP
2020-03-11,AM
2020-03-11,AL
2020-03-11,AC
2020-03-12,TO
2020-03-12,SP
2020-03-12,SE
2020-03-12,SC
2020-03-12,RS
2020-03-12,RR
2020-03-12,RO
2020-03-12,RN
2020-03-12,RJ
2020-03-12,PR
2020-03-12,PI
2020-03-12,PE
2020-03-12,PB
2020-03-12,PA
2020-03-12,MT
2020-03-12,MS
2020-03-12,MG
2020-03-12,MA
2020-03-12,GO
2020-03-12,ES
2020-03-12,DF
2020-03-12,CE
2020-03-12,BA
2020-03-12,AP
2020-03-12,AM
2020-03-12,AL
2020-03-12,AC
2020-03-13,TO
2020-03-13,SP
2020-03-13,SE
2020-03-13,SC
2020-03-13,RS
2020-03-13,RR
2020-03-13,RO
2020-03-13,RN
2020-03-13,RJ
2020-03-13,PR
2020-03-13,PI
2020-03-13,PE
2020-03-13,PB
2020-03-13,PA
2020-03-13,MT
2020-03-13,MS
2020-03-13,MG
2020-03-13,MA
2020-03-13,GO
2020-03-13,ES
2020-03-13,DF
2020-03-13,CE
2020-03-13,BA
2020-03-13,AP
2020-03-13,AM
2020-03-13,AL
2020-03-13,AC
2020-03-14,TO
2020-03-14,SP
2020-03-14,SE
2020-03-14,SC
2020-03-14,RS
2020-03-14,RR
2020-03-14,RO
2020-03-14,RN
2020-03-14,RJ
2020-03-14,PR
2020-03-14,PI
2020-03-14,PE
2020-03-14,PB
2020-03-14,PA
2020-03-14,MT
2020-03-14,MS
2020-03-14,MG
2020-03-14,MA
2020-03-14,GO
2020-03-14,ES
2020-03-14,DF
2020-03-14,CE
2020-03-14,BA
2020-03-14,AP
2020-03-14,AM
2020-03-14,AL
2020-03-14,AC
2020-03-15,TO
2020-03-15,SP
2020-03-15,SE
2020-03-15,SC
2020-03-15,RS
2020-03-15,RR
2020-03-15,RO
2020-03-15,RN
2020-03-15,RJ
2020-03-15,PR
2020-03-15,PI
2020-03-15,PE
2020-03-15,PB
2020-03-15,PA
2020-03-15,MT
2020-03-15,MS
2020-03-15,MG
2020-03-15,MA
2020-03-15,GO
2020-03-15,ES
2020-03-15,DF
2020-03-15,CE
2020-03-15,BA
2020-03-15,AP
2020-03-15,AM
2020-03-15,AL
2020-03-15,AC
2020-03-16,TO
2020-03-16,SP
2020-03-16,SE
2020-03-16,SC
2020-03-16,RS
2020-03-16,RR
2020-03-16,RO
2020-03-16,RN
2020-03-16,RJ
2020-03-16,PR
2020-03-16,PI
2020-03-16,PE
2020-03-16,PB
2020-03-16,PA
2020-03-16,MT
2020-03-16,MS
2020-03-16,MG
2020-03-16,MA
2020-03-16,GO
2020-03-16,ES
2020-03-16,DF
2020-03-16,CE
2020-03-16,BA
2020-03-16,AP
2020-03-16,AM
2020-03-16,AL
2020-03-16,AC
2020-03-17,TO
2020-03-17,SP
2020-03-17,SE
2020-03-17,SC
2020-03-17,RS
2020-03-17,RR
2020-03-17,RO
2020-03-17,RN
2020-03-17,RJ
2020-03-17,PR
2020-03-17,PI
2020-03-17,PE
2020-03-17,PB
2020-03-17,PA
2020-03-17,MT
2020-03-17,MS
2020-03-17,MG
2020-03-17,MA
2020-03-17,GO
2020-03-17,ES
2020-03-17,DF
2020-03-17,CE
2020-03-17,BA
2020-03-17,AP
2020-03-17,AM
2020-03-17,AL
2020-03-17,AC
2020-03-18,TO
2020-03-18,SP
2020-03-18,SE
2020-03-18,SC
2020-03-18,RS
2020-03-18,RR
2020-03-18,RO
2020-03-18,RN
2020-03-18,RJ
2020-03-18,PR
2020-03-18,PI
2020-03-18,PE
2020-03-18,PB
2020-03-18,PA
2020-03-18,MT
2020-03-18,MS
2020-03-18,MG
2020-03-18,MA
2020-03-18,GO
2020-03-18,ES
2020-03-18,DF
2020-03-18,CE
2020-03-18,BA
2020-03-18,AP
2020-03-18,AM
2020-03-18,AL
2020-03-18,AC
2020-03-19,TO
2020-03-19,SP
2020-03-19,SE
2020-03-19,SC
2020-03-19,RS
2020-03-19,RR
2020-03-19,RO
2020-03-19,RN
2020-03-19,RJ
2020-03-19,PR
2020-03-19,PI
2020-03-19,PE
2020-03-19,PB
2020-03-19,PA
2020-03-19,MT
2020-03-19,MS
2020-03-19,MG
2020-03-19,MA
2020-03-19,GO
2020-03-19,ES
2020-03-19,DF
2020-03-19,CE
2020-03-19,BA
2020-03-19,AP
2020-03-19,AM
2020-03-19,AL
2020-03-19,AC
2020-03-20,TO
2020-03-20,SP
2020-03-20,SE
2020-03-20,SC
2020-03-20,RS
2020-03-20,RR
2020-03-20,RO
2020-03-20,RN
2020-03-20,RJ
2020-03-20,PR
2020-03-20,PI
2020-03-20,PE
2020-03-20,PB
2020-03-20,PA
2020-03-20,MT
2020-03-20,MS
2020-03-20,MG
2020-03-20,MA
2020-03-20,GO
2020-03-20,ES
2020-03-20,DF
2020-03-20,CE
2020-03-20,BA
2020-03-20,AP
2020-03-20,AM
2020-03-20,AL
2020-03-20,AC
2020-03-21,TO
2020-03-21,SP
2020-03-21,SE
2020-03-21,SC
2020-03-21,RS
2020-03-21,RR
2020-03-21,RO
2020-03-21,RN
2020-03-21,RJ
2020-03-21,PR
2020-03-21,PI
2020-03-21,PE
2020-03-21,PB
2020-03-21,PA
2020-03-21,MT
2020-03-21,MS
2020-03-21,MG
2020-03-21,MA
2020-03-21,GO
2020-03-21,ES
2020-03-21,DF
2020-03-21,CE
2020-03-21,BA
2020-03-21,AP
2020-03-21,AM
2020-03-21,AL
2020-03-21,AC
2020-03-22,TO
2020-03-22,SP
2020-03-22,SE
2020-03-22,SC
2020-03-22,RS
2020-03-22,RR
2020-03-22,RO
2020-03-22,RN
2020-03-22,RJ
2020-03-22,PR
2020-03-22,PI
2020-03-22,PE
2020-03-22,PB
2020-03-22,PA
2020-03-22,MT
2020-03-22,MS
2020-03-22,MG
2020-03-22,MA
2020-03-22,GO
2020-03-22,ES
2020-03-22,DF
2020-03-22,CE
2020-03-22,BA
2020-03-22,AP
2020-03-22,AM
2020-03-22,AL
2020-03-22,AC
2020-03-23,TO
2020-03-23,SP
2020-03-23,SE
2020-03-23,SC
2020-03-23,RS
2020-03-23,RR
2020-03-23,RO
2020-03-23,RN
2020-03-23,RJ
2020-03-23,PR
2020-03-23,PI
2020-03-23,PE
2020-03-23,PB
2020-03-23,PA
2020-03-23,MT
2020-03-23,MS
2020-03-23,MG
2020-03-23,MA
2020-03-23,GO
2020-03-23,ES
2020-03-23,DF
2020-03-23,CE
2020-03-23,BA
2020-03-23,AP
2020-03-23,AM
2020-03-23,AL
2020-03-23,AC
2020-03-24,TO
2020-03-24,SP
2020-03-24,SE
2020-03-24,SC
2020-03-24,RS
2020-03-24,RR
2020-03-24,RO
2020-03-24,RN
2020-03-24,RJ
2020-03-24,PR
2020-03-24,PI
2020-03-24,PE
2020-03-24,PB
2020-03-24,PA
2020-03-24,MT
2020-03-24,MS
2020-03-24,MG
2020-03-24,MA
2020-03-24,GO
2020-03-24,ES
2020-03-24,DF
2020-03-24,CE
2020-03-24,BA
2020-03-24,AP
2020-03-24,AM
2020-03-24,AL
2020-03-24,AC
2020-03-25,TO
2020-03-25,SP
2020-03-25,SE
2020-03-25,SC
2020-03-25,RS
2020-03-25,RR
2020-03-25,RO
2020-03-25,RN
2020-03-25,RJ
2020-03-25,PR
2020-03-25,PI
2020-03-25,PE
2020-03-25,PB
2020-03-25,PA
2020-03-25,MT
2020-03-25,MS
2020-03-25,MG
2020-03-25,MA
2020-03-25,GO
2020-03-25,ES
2020-03-25,DF
2020-03-25,CE
2020-03-25,BA
2020-03-25,AP
2020-03-25,AM
2020-03-25,AL
2020-03-25,AC
2020-03-26,TO
2020-03-26,SP
2020-03-26,SE
2020-03-26,SC
2020-03-26,RS
2020-03-26,RR
2020-03-26,RO
2020-03-26,RN
2020-03-26,RJ
2020-03-26,PR
2020-03-26,PI
2020-03-26,PE
2020-03-26,PB
2020-03-26,PA
2020-03-26,MT
2020-03-26,MS
2020-03-26,MG
2020-03-26,MA
2020-03-26,GO
2020-03-26,ES
2020-03-26,DF
2020-03-26,CE
2020-03-26,BA
2020-03-26,AP
2020-03-26,AM
2020-03-26,AL
2020-03-26,AC
